AuthorID,Author,Date,Content,Attachments,Reactions
"511656055974133780","🐑Sheep-kun; SheepCommander☭🎩#1511","14-Jul-20 10:44 AM","> https://discordapp.com/channels/648294947123888128/727904401917739089/732021316005396510
> ```js
> execute as @a unless score @s ID matches 1.. run <other potential commands>
> execute as @a unless score @s ID matches 1.. store result score @s ID run scoreboard players add $New_ID ID 1```
@TemmieOfficial","",""
"511656055974133780","🐑Sheep-kun; SheepCommander☭🎩#1511","14-Jul-20 11:02 AM","> A downloadable Unicode RP template
@asdru 
Will be added to #deleted-channel when @foof🎄 turns into a download link","",""
"511656055974133780","🐑Sheep-kun; SheepCommander☭🎩#1511","14-Jul-20 07:00 PM","> And when I was typing that previous message I notices that you spelled it ""knowledgeble"" instead of ""knowledgeable"" in the role names.
@Mixtongent73 
Fixed role names","",""
"511656055974133780","🐑Sheep-kun; SheepCommander☭🎩#1511","15-Jul-20 09:24 AM","> could combine the voting and announcements channels
@TheRedWaffles 
Will take this to #👍polls-announcements","",""
"511656055974133780","🐑Sheep-kun; SheepCommander☭🎩#1511","15-Jul-20 09:25 AM","> Maybe a memes channel
@Dapper 
No.
Not the purpose of this discord server.","",""
"511656055974133780","🐑Sheep-kun; SheepCommander☭🎩#1511","15-Jul-20 09:31 AM","> combine #deleted-channel & #deleted-channel or rename #deleted-channel > datapack-tools
@Zefyro 
I've done so","",""
"511656055974133780","🐑Sheep-kun; SheepCommander☭🎩#1511","15-Jul-20 10:34 AM","> tell good plugins for datapack for atom as well
@L. Lawliet 
Hosting a vote on that in #👍polls-announcements","",""
"511656055974133780","🐑Sheep-kun; SheepCommander☭🎩#1511","15-Jul-20 10:37 AM","> Combine #deleted-channel & #📜role-details
@Pablo 
I personally think it'd look cluttered,  and I want it to be clear to newcomers what to focus on. So no.","",""
"511656055974133780","🐑Sheep-kun; SheepCommander☭🎩#1511","15-Jul-20 12:48 PM","> https://discordapp.com/channels/648294947123888128/732777253838127125/732777937580982293
> **AEC** Area Effect Cloud
@TemmieOfficial 
Added it","",""
"511656055974133780","🐑Sheep-kun; SheepCommander☭🎩#1511","16-Jul-20 03:47 AM","> Keep #🎀showcase🥓advertising but remove #deleted-channel.
@Pablo 
I'm going to revise my vote for thsi","",""
